ID,Name,Type,Operator,Access,Latitude,Longitude,Power_kW,Voltage,Capacity,Socket_Types,Street,City,Postcode,Country,Opening_Hours,OSM_Link
12335131466,E-HDT Charging Station,private,EnBW Energie Baden-Württemberg AG,yes,48.3466463,11.3819363,,,200kW,,,,,Germany,,https://www.openstreetmap.org/node/12335131466
12393488578,E-HDT Charging Station,private,E.ON,,52.3200859,13.5946632,,,2,type2_cable:output: 400 kW,,,,Germany,,https://www.openstreetmap.org/node/12393488578
12393839317,E-HDT Charging Station,private,E.ON,,52.3200271,13.5946181,,,2,type2_cable:output: 400 kW,,,,Germany,,https://www.openstreetmap.org/node/12393839317
12405354685,Milence charging hub Hermsdorfer Kreuz,private,Commercial Vehicle Charging Europe B.V.,,50.8946703,11.9818889,,,8,type2_combo: 4; type2_combo:output: 400 kW,Am Rüdersdorfer Wege,Kraftsdorf,07586,Germany,,https://www.openstreetmap.org/node/12405354685
12415399669,Milence charging hub Vockerode,private,Commercial Vehicle Charging Europe B.V.,,51.84871,12.3432202,,,4,type2_combo: 2; type2_combo:output: 400 kW,An der A9,Oranienbaum-Wörlitz,06785,Germany,,https://www.openstreetmap.org/node/12415399669
12419937683,E-HDT Charging Station,private,,,51.3615798,8.2849325,,,150 kW,,,,,Germany,,https://www.openstreetmap.org/node/12419937683
12419937684,E-HDT Charging Station,private,,,51.3616104,8.2849316,,,150 kW,,,,,Germany,,https://www.openstreetmap.org/node/12419937684
12546231497,E-HDT Charging Station,private,REA eCharge,yes,53.1546085,8.2104836,,,150 kW,,,,,Germany,,https://www.openstreetmap.org/node/12546231497
12610062280,E-HDT Charging Station,private,EnBW Energie Baden-Württemberg AG,,53.5798839,9.9354328,,,150kW,,,,,Germany,,https://www.openstreetmap.org/node/12610062280
12612214191,E-HDT Charging Station,private,MOON POWER GmbH,yes,50.8671413,12.8569801,,,,ccs: 2; ccs:output: 50 kW; type2: 1; type2:output: 11 kW,,,,Germany,,https://www.openstreetmap.org/node/12612214191
12612804956,E-HDT Charging Station,private,Ionity,,54.083148,12.192081,,,1,,,,,Germany,24/7,https://www.openstreetmap.org/node/12612804956
12655715084,E-HDT Charging Station,private,APS,yes,51.5568902,8.1441375,,,,type2: 4; type2:output: 400 kW,,,,Germany,,https://www.openstreetmap.org/node/12655715084
12696591767,E-HDT Charging Station,private,Pfalzwerke,yes,49.5512494,8.3529843,,,2,type2_combo: 2; type2_combo:output: 150 kW,,,,Germany,,https://www.openstreetmap.org/node/12696591767
12696591768,E-HDT Charging Station,private,Shell Recharge Solutions,yes,49.550452,8.3530727,,,2,type2_combo: 2; type2_combo:output: 360 kW,,,,Germany,24/7,https://www.openstreetmap.org/node/12696591768
12707250094,E-HDT Charging Station,private,,,49.5045732,6.76019,,,150 kW,,,,,Germany,,https://www.openstreetmap.org/node/12707250094
