route_name,ref_number,highway_type,distance_km,distance_category,quality_score,corridor_relevance,eHDT_suitability,is_major_highway,state_classification,key_waypoints,start_lat,start_lon,end_lat,end_lon,lanes,maxspeed,surface,toll,access,hdt_classification,hdt_suitable,hdt_priority,speed_limit_hdt,major_route,route_description,num_segments,consolidated,original_segments,estimated_hours,estimated_fuel_liters,route_id
Chennai - Tiruthani - Renigunta Road (Old NH205),SHU,primary,9.27,Short (<100km),57.22,0.6112,Good,True,Within_TN,CHENNAI → Industrial corridor route → Ranipet,13.2048,79.6898,13.2085,79.6982,,,,,,state_highway,True,medium,60,,"State Highways (SH), HDT accessible",16,True,16,0.15,1.5,119
Krishnagiri - Ranipet Road (Old NH46),SHU144,primary,8.73,Short (<100km),56.64,0.4817,Good,True,Within_TN,"KRISHNAGIRI, RANIPET",12.5892,78.5076,12.5873,78.5048,,,,,,state_highway,True,medium,60,,"State Highways (SH), HDT accessible",16,True,16,0.15,1.5,120
Kancheepuram Bypass (West),SHU243,primary,8.6,Short (<100km),59.61,0.585,Good,True,Within_TN,Industrial corridor route,12.8448,79.6634,12.8458,79.6624,,,asphalt,,,state_highway,True,medium,60,,"State Highways (SH), HDT accessible",12,True,12,0.14,1.4,121
Old Madras Road,NH42;NH69,trunk,8.06,Short (<100km),61.16,0.4479,Good,True,Within_TN,Industrial corridor route,13.1973,78.7077,13.1977,78.7082,2.0,,,,,national_highway,True,medium,80,,"National Highways (NH), main HDT corridors",12,True,12,0.1,1.3,122
Anna Salai,SH207,primary,7.94,Short (<100km),56.0,0.4446,Good,True,Within_TN,Vellore → Ranipet → VELLORE,12.9136,79.1323,12.9097,79.1318,,,asphalt,,,state_highway,True,medium,60,,"State Highways (SH), HDT accessible",4,True,4,0.13,1.3,123
Padi Flyover,SHU148,primary,7.45,Short (<100km),67.85,0.9214,Good,True,Within_TN,Chennai → Sriperumbudur → CHENNAI,13.1015,80.1944,13.1015,80.1944,,,,,,state_highway,True,medium,60,,"State Highways (SH), HDT accessible",19,True,19,0.12,1.2,124
Taramani Link Road,SH48B,primary,7.16,Short (<100km),67.34,0.8967,Good,True,Within_TN,Chennai,12.98,80.2522,12.9803,80.2511,,,,,,state_highway,True,medium,60,,"State Highways (SH), HDT accessible",25,True,25,0.12,1.2,125
Grand Northern Trunk Road (Old NH5),SHU15,primary,6.99,Short (<100km),66.17,0.8765,Good,True,Within_TN,Chennai,13.1841,80.1922,13.1842,80.1917,,,,,,state_highway,True,medium,60,,"State Highways (SH), HDT accessible",23,True,23,0.12,1.2,126
Camp Salai,MDR566,primary,6.15,Short (<100km),65.25,0.815,Good,True,Within_TN,Chennai → Sriperumbudur,12.9123,80.1431,12.918,80.1459,3.0,,asphalt,,,state_highway,True,medium,60,,"State Highways (SH), HDT accessible",5,True,5,0.1,1.0,127
Nelamangala Main Road,SH74,primary,5.68,Short (<100km),63.92,0.7922,Good,True,TN_to_KA,Bengaluru → Industrial corridor route,13.1,77.3912,13.0999,77.3912,1.0,50.0,,,,state_highway,True,medium,60,,"State Highways (SH), HDT accessible",8,True,8,0.09,0.9,128
Kancheepuram - Surappan Road,SH58A,primary,5.35,Short (<100km),59.9,0.5961,Good,True,Within_TN,Industrial corridor route,12.8692,79.6486,12.8497,79.6931,,,,,,state_highway,True,medium,60,,"State Highways (SH), HDT accessible",1,True,1,0.09,0.9,129
Tekal Road,SH99,primary,5.33,Short (<100km),60.72,0.6358,Good,True,TN_to_KA,Industrial corridor route → KOLAR,13.0939,78.1078,13.1108,78.1248,,,,,,state_highway,True,medium,60,,"State Highways (SH), HDT accessible",11,True,11,0.09,0.9,130
Grand Northern Trunk Road (Old NH5),SHU17,primary,5.2,Short (<100km),62.85,0.726,Good,True,Within_TN,Industrial corridor route,13.3969,80.1327,13.3958,80.1325,,,,,,state_highway,True,medium,60,,"State Highways (SH), HDT accessible",6,True,6,0.09,0.9,131
Semmambadi - Chetpet Highway,NH179D,trunk,4.68,Short (<100km),61.4,0.457,Good,True,Within_TN,Industrial corridor route,12.4961,79.3482,12.5163,79.3411,2.0,,asphalt,,,national_highway,True,medium,80,,"National Highways (NH), main HDT corridors",5,True,5,0.06,0.8,132
Thirumangalam – Mogappair Road,SH112,primary,4.68,Short (<100km),68.11,0.9274,Good,True,Within_TN,Chennai → Sriperumbudur,13.0871,80.1987,13.0871,80.1985,,,,,,state_highway,True,medium,60,,"State Highways (SH), HDT accessible",8,True,8,0.08,0.8,133
Chennai - Chittoor - Bangalore Road (Old NH4),SHU142,primary,4.57,Short (<100km),62.22,0.6934,Good,True,Within_TN,"CHENNAI, BANGALORE, CHITTOOR",12.9231,79.8752,12.9297,79.894,,,,,,state_highway,True,medium,60,,"State Highways (SH), HDT accessible",6,True,6,0.08,0.8,134
Malur - Hosur - Adhiyamankottai Road,SH17,primary,4.53,Short (<100km),63.76,0.7521,Good,True,TN_to_KA,HOSUR,12.8663,77.8787,12.8681,77.8797,,,,,,state_highway,True,medium,60,,"State Highways (SH), HDT accessible",9,True,9,0.08,0.8,135
Krishnagiri - Ranipet Road (Old NH46),SHU127,primary,4.44,Short (<100km),57.87,0.5183,Good,True,TN_to_KA,"KRISHNAGIRI, RANIPET",12.5485,78.3342,12.5479,78.3346,,,asphalt,,,state_highway,True,medium,60,,"State Highways (SH), HDT accessible",5,True,5,0.07,0.7,136
BHEL Feeder Road,SH241,primary,4.43,Short (<100km),57.15,0.4882,Good,True,Within_TN,Vellore → Ranipet,12.9689,79.3111,12.9685,79.3095,,,,,,state_highway,True,medium,60,,"State Highways (SH), HDT accessible",10,True,10,0.07,0.7,137
